doi,product,product titer,medium,carbon source,ph,temperature,oxygen level,vessel and feed mode,gene
10.1016.j.femsyr.2004.01.003,"['acetate', 'acetate (acetate)', 'glycerol', 'lactate', 'lactate (lactic acid)', 'succinate']","['1 mM', '11 mM', 'below 2.5 mM', '2% (w/v)']",['Synthetic medium with xylose'],['xylose'],['5.0'],['30 °C'],['Severe oxygen limitation then anaerobic'],"['Fermenter, batch']",['XylA']
10.1016.j.femsyr.2004.09.010,"['acetate', 'ethanol', 'succinate', 'succinate (succinate)', 'xylitol', 'xylitol (xylitol)']","['7-fold lower', '2% (w/v)', '0.22 ± 0.01 g/l', '0.35 ± 0.01 g/l', '0.021 ± 0.002 g/g']",['Synthetic'],['Xylose'],['5.0'],['30 °C'],['Anaerobic'],"['Fermenter, batch']","['ACT1', 'GRE3', 'PDA1', 'RKI1', 'RPE1', 'RPI1', 'TAL1', 'TKL1', 'TPI1', 'XKS1', 'XylA', 'pentose-phosphate-pathway enzymes', 'ribulose 5-phosphate epimerase (R5PE)', 'ribulose 5-phosphate isomerase (R5PI)', 'transaldolase (TAL)', 'transketolase (TKT)', 'xylose isomerase', 'xylose isomerase (XI)', 'xylulokinase', 'xylulokinase (XKS)']"
10.1016.S1567-1356(03)00157-0,"['piceid', 'piceid (piceid)', 'trans-resveratrol', 'trans-resveratrol (trans-resveratrol)']",['291 ng/ml'],"['SCDL', 'SCDL + β-glucosidase']",['p-coumaric acid'],['N/A'],['30°C'],['N/A'],['Batch'],"['4CL216', 'CAL1', 'CL216', 'VST1', 'vst1']"
10.1016.j.biortech.2014.12.020,"['ethanol', 'ethanol (ethanol)', 'xylitol', 'xylitol (xylitol)']","['11.61g/L', '25.5g/L', '15.74g/L', '0.32g/g', '4.4g/L', '0.34g/g', '0.47g/g']","['SSCF medium', 'mineral medium']","['glucose', 'glucose, xylose', 'xylose']","['5', 'N/A']","['30°C', 'N/A']","['N/A', 'anaerobic', 'oxygen-limited']","['SSCF', 'batch']","['CYC8', 'GRE3', 'PHD', 'ScTAL1', 'ScXKS1', 'SsXYL1', 'SsXYL2', 'URA3', 'XKS1', 'XYL1', 'XYL2', 'ZWF1', 'hphMX4']"
10.1016.j.ymben.2011.05.001,"['FOH', 'amorphadiene', 'amorphadiene (amorphadiene)', 'valencene', 'valencene (valencene)']","['40μg/l', '370μg/l', 'ca. 20 mg/l', '1.5mg/l', '38μg/l', '150μg/l']",['YPD'],['glucose'],['N/A'],['30°C'],['N/A'],['batch'],"['ADS', 'AaADS', 'AtFDPS', 'BTS1', 'COX4', 'CUP1', 'CYC1', 'CsTPS', 'CsTPS1', 'DPP1', 'FDPS', 'HMG1', 'HsFDPS', 'LPP1', 'bts1', 'dpp1', 'lpp1', 'mtADS', 'mtCsTPS1', 'mtFDPS', 'tHMG']"
10.1016.j.ymben.2012.07.011,"['ethanol', 'ethanol (ethanol)', 'glycerol']","['0.42g/g xylose', '0.04g/g xylose', '1.464gg−1h−1', '1.866gg−1h−1', '0.438gg−1 xylose']","['2×YNBX', 'YNBX']",['xylose'],"['-', '5.0']",['30°C'],"['aerobic', 'anaerobic']","['chemostat', 'shake flask']","['ADH1', 'ADH2', 'ALD3', 'FBP1', 'ICL1', 'P. stipitis XYL3', 'PCK1', 'PGK1', 'Piromyces XYLA', 'PsTAL1', 'PsXYL3', 'RKI1', 'RPE1', 'TAL1', 'TKL1', 'URA3', 'XKS1', 'XYL3', 'XYLA', 'arg4', 'leu2']"
10.1016.j.ymben.2013.01.003,"['citrate', 'citrate (citrate)', 'fatty acids']","['120-150μg/108 cells', 'about 2–3 times higher than wild type strain', '22nmol/108 cells']",['YPD'],['dextrose'],['N/A'],['30°C'],['N/A'],['shaking flask'],"['acl', 'idh1', 'idh1,2', 'idh2']"
10.1016.j.ymben.2013.10.004,"['dammarenediol-II', 'dammarenediol-II (dammarenediol-II)', 'ergosterol', 'ergosterol (ergosterol)', 'lanosterol', 'lanosterol (lanosterol)', 'protopanaxadiol', 'protopanaxadiol (protopanaxadiol)', 'squalene', 'squalene (squalene)']","['0.27mg/g DCW', '0.42mg/g DCW', '263mg/L', '0.91mg/g DCW', '1.05mg/g DCW', '0.8mg/g DCW', '5.09mg/g DCW', '1189mg/L (8.40mg/g DCW)', '0.05mg/g DCW', '4.96mg/g DCW', '13.11mg/g DCW', '304mg/L', '16mg/L', '16.68mg/g DCW', '8.20mg/g DCW', '4.49mg/g DCW', '180mg/L', '14.66mg/g DCW', '0.51mg/g DCW', '8.48mg/g DCW', '13.78mg/g DCW', '232mg/L', '4.21mg/g DCW', '0.50mg/g DCW']","['YPD', 'mineral']","['Glucose', 'glucose']","['5.5', 'N/A', 'Not specified']","['30°C', 'N/A']","['N/A', 'Not specified', 'not specified']","['7.5L fermentor', '7.5L fermentor, fed-batch', 'Fed-batch fermentation', 'Flask', 'flask']","['AtCPR1', 'ERG1', 'ERG11', 'ERG20', 'ERG9', 'GGPP synthase', 'PPDS', 'PgDDS', 'PgPPDS', 'SynPgPPDS', 'URA3', 'tHMG1']"
10.1016.j.ymben.2014.01.002,"['1-butanol', '1-butanol (1-butanol)', '1-propanol', 'ethanol']","['56.9±7.3% more', '51.2±20.8% higher', '0.44g/g (0.2% KV)', '280.8±77.2% more 1-butanol', '52.1±8.5% more', '32.8±14.5% improvement', '0.36g/g (0.1% KV)', '242.8±21.0mg/L', '0.08g 1-propanol/g 2-KV', '0.64g/g (theoretical yield)', '42.9±21.4% improvement', '0.08g 1-butanol/g 2-KV', '106.8±17.9% higher', '73.1±9.2% improvement']",['YPAD'],['2% glucose'],['5'],['30°C'],['Aerobic'],['Baffled shake-flask'],"['ADH1', 'ADH2', 'ADH3', 'ADH4', 'ADH5', 'ADH6', 'Aro10p', 'Aro10pI355Y', 'BDHB', 'CHA1', 'ILV1', 'ILV2', 'ILV3', 'ILV6', 'Ilv1p/Cha1p', 'KivD', 'LEU1', 'LEU2', 'LEU4', 'Leu1p', 'Leu2p', 'Leu4p/Leu9p', 'Pdc1p', 'Pdc5p', 'Pdc6p', 'Thi3p', 'adh1', 'cha1', 'hom2', 'hom3', 'hom6', 'ilv1', 'leu1', 'leu4', 'leu9', 'thr1', 'thr4']"
10.1016.j.ymben.2014.01.005,"['3-HP', '3-HP (3-Hydroxypropionic acid)']","['463mgl^-1', '271mgl^-1', '122mgl^-1', '249mgl^-1', '210mgl^-1', '92.6mgl^-1']","['defined minimal', 'defined minimal w/ gapN']",['glucose'],['N/A'],['30°C'],['aerobic'],['shake flask'],"['3-hydroxyisobutyrate dehydrogenase', '3-hydroxypropionate dehydrogenase', 'ACC1', 'ADH2', 'ALD6', 'CIT2', 'GAPDH', 'GAPN', 'HIBADH', 'HPDH', 'HXT7', 'HpdH', 'MCRCa', 'MCRSt', 'MLS1', 'McrCa', 'NADP-GAPDH', 'acsSE', 'acsSEL641P', 'gapDH', 'gapN', 'hpdH', 'mcrCa', 'mcrSt', 'mmsB']"
10.1016.j.ymben.2014.05.001,"['ethanol', 'ethanol (ethanol)', 'xylitol', 'xylitol (xylitol)']","['45.2g/L', '2.83g/L', '0.44g/g DCW/h', '0.47g/g total sugar', '48g/L', '4.1g/L', '1.6g/L', '30.4g/L', '1.8g/L', '0.48g/g total sugar', '38.3g/L', '0.46g/g total sugar', '0.51g/g total sugar', '0.43g/g total sugar', '5.6g/L', '3.2g/L', '1.9g/L']","['Bioreactor', 'Not specified', 'SD', 'SD medium', 'bioreactor']","['Glucose, xylose', 'glucose, xylose']","['-', 'N/A']","['30°C', 'N/A']","['Low', 'N/A', 'No', 'low aeration', 'no aeration']","['2-L bioreactor', '250mL flask', 'Bioreactor, no aeration', 'Flask, low aeration', 'N/A', 'bioreactor']","['ACT1', 'ADH1', 'HSP104', 'HSP26', 'HSP70', 'HXT7', 'KGD1', 'PGK1', 'RKI1', 'RPE1', 'TAL1', 'XDH', 'XKS1', 'XR', 'XYL1', 'XYL14m', 'XYL1K270R', 'XYL2']"
10.1016.j.ymben.2014.07.008,"['2-PS', '2-PS (2-pyrone synthase)', '2-pyrone synthase', '2-pyrone synthase (2-pyrone synthase)', 'TAL', 'TAL (Triacetic acid lactone)', 'polyketides', 'polyketides (triacetic acid lactone)', 'triacetic acid lactone', 'triacetic acid lactone (triacetic acid lactone)']","['2.2g/L', 'less than 1% (g/g)', '2g/L', '580mg/L', '1.0g/L', '1.3g/L', '260mg/L', '0.12g/g glucose', '0.12–0.13g/g glucose (26–29% of theoretical)', '0.13g/g glucose', '0.81g/L', '0.91g/L', '58mg/L']","['SDC(A)', 'YPD']","['1% glucose', 'Glucose']","['-', '5.0/6.0', '6.0']",['30°C'],"['-', '20%', 'Maintained at 20%']","['Batch', 'Batch, BioFlo III', 'BioFlo III', 'Fed-batch']","['2-PS', '2-pyrone synthase', '6-MSAS', 'ADH1', 'CHS', 'FAS1/FAS2', 'FBP1', 'GPD1', 'GSY1/2', 'HIS3', 'LEU2-d8', 'MET15', 'MLS1', 'NTE1', 'PCK1', 'PEP4', 'PGM1', 'PGM1/2', 'PGM2', 'PRB1', 'PYC1', 'PYC1/2', 'PYC2', 'TAL', 'TRP1', 'URA3', 'YIA6', 'ZWF1', 'chs2', 'g2ps1', 'npgA', 'nte1', 'prb1', 'pyc2', 'yia6']"
10.1016.j.ymben.2014.10.003,"['3HP', '3HP (3-hydroxypropionic acid)']","['12.2gL−1', '3.66±0.72gL−1', '14±0%C-molC-mol−1', '1.27±0.28gL−1', '1.75±0.15gL−1', '13.7±0.3gL−1', '8.51±1.05gL−1', '0.83±0.08gL−1', '9.2gL−1', '2.14±0.09gL−1']","['feed-in-time', 'glucose-limited feed', 'mineral', 'simplified constant feed']",['glucose'],"['3.5', '5']",['30°C'],['aerobic'],"['aerobic fed-batch', 'batch', 'simulated fed-batch']","['AAT2', 'ALT1', 'BAPAT', 'BcBAPAT', 'BcHIBADH', 'BsAAM', 'CaHIBADH', 'EcYDFG', 'GABT', 'GAD1', 'HIBADH', 'HPDH', 'MsHPDH', 'PAND', 'PYC1', 'PYC2', 'PaHIBADH', 'PpHIBADH', 'RUTE', 'StHPDH', 'TcPAND', 'UGA1', 'YDFG', 'YHXA', 'aptA', 'gabT', 'yhxA']"
10.1016.j.ymben.2014.10.008,"['abietadiene', 'abietadiene (abietadiene)', 'cis-abienol', 'cis-abienol (cis-abienol)', 'farnesol (FOH)', 'nerolidol (NOH)', 'sclareol', 'sclareol (sclareol)']","['15.4mg/L', '98.5mg/L', '0.2mg/L', '28mg/L', '2.1mg/L', '42.7mg/L', '12.8mg/L', '~15mg/L', '68.3mg/L', '14.2mg/L', '1mg/L', '143mg/L', '403mg/L', '24.6mg/L', '239mg/L', '6.8mg/L', '0.04mg/L']","['not specified', 'unbuffered, pH ~4.0-4.5']","['galactose/raffinose', 'glucose', 'not specified']","['acidic (natural acidification)', 'not specified', 'pH 3.5-4.5', 'pH 7', 'pH调整至酸性']",['30°C'],"['aerobic', 'not specified']","['not specified', 'shake flask', 'shake flask, batch']","['ACS', 'ACS2', 'Bts1p', 'CD-HMG2', 'COD7', 'CcCLS', 'CcGGPPS', 'ERG20', 'ERG20(F96C)', 'ERG9', 'Erg20p', 'Erg20p(F96C)', 'HMG2', 'Hmg2p', 'NtABS', 'PaLAS', 'SsLPPS1', 'SsSCLS', 'crtE', 'crtI', 'crtYB']"
10.1016.j.ymben.2014.12.001,"['(Z)-biformene', '(Z)-biformene ((Z)-biformene)', '18-hydroxy-miltiradiene', '18-hydroxy-miltiradiene (18-hydroxy-miltiradiene)', '19-hydroxy-manool', '19-hydroxy-manool (19-hydroxy-manool)', '19-hydroxy-miltiradiene', '19-hydroxy-miltiradiene (19-hydroxy-miltiradiene)', '3β-hydroxy-manool', '3β-hydroxy-manool (3β-hydroxy-manool)', '3β-hydroxy-manoyl oxide', '3β-hydroxy-manoyl oxide (3β-hydroxy-manoyl oxide)', '4-epi-dehydroabietol', 'cis-abienol', 'cis-abienol (cis-abienol)', 'manool', 'manool (manool)', 'manoyl oxide', 'manoyl oxide (manoyl oxide)', 'miltiradiene', 'miltiradiene (miltiradiene)', 'sclareol', 'sclareol (sclareol)']","['96mg/L', '4.8mg/L', '87mg/L', '~10mg/L', '~4mg/L', '13.8mg/L', '~19mg per L of culture', '36mg/L', '4mg/L', '3.9mg/L', '26mg/L']","['Gal/Raff-SD', 'Not specified', 'SD dropout']","['Galactose/Raffinose', 'Glucose', 'Not specified']",['N/A'],"['28°C', '30°C', 'N/A']",['N/A'],"['Not specified', 'Shake flask']","['BTS1', 'CPR2', 'CYP720B1', 'CcCLS', 'CcGGPPS', 'ERG20-CcGGPPS', 'ERG9', 'HMG2', 'NtABS', 'PaLAS', 'PtAO', 'SSM4', 'ScGS', 'SfCDS', 'SpMilS', 'SpMilS1', 'SsSCLS', 'UBC7']"
10.1016.j.ymben.2015.03.003,"['Rg3', 'Rg3 (Rg3)', 'Rh2', 'Rh2 (20(S)-Rh2)']","['1.45μmol/g DCW', '3.49μmol/g DCW']",['YPD'],['Glucose'],['Not specified'],['30°C'],['Not specified'],['Batch'],"['ATR1', 'ATR2.1', 'CYP716A47', 'ERG20', 'ERG9', 'PgDDS', 'PgSQE1', 'SrUGT74G1', 'UGTPg1', 'UGTPg29', 'UGTPg45', 'tHMG1']"
10.1016.j.ymben.2015.08.007,"['p-coumaric acid', 'resveratrol', 'resveratrol (resveratrol)']","['6.39±0.03mgL−1', '7.04±2.03mgL−1', '4.85±0.31mgL−1', '415.65mgL−1', '11.66±0.57mgL−1', '13.71±2.14mgL−1', '4.69±0.39mgL−1', '235.57±7.00mgL−1', '2.73±0.05mgL−1', '3.57±0.18mgL−1', '4.48±0.22mgL−1', '531.41mgL−1']","['Not specified', 'minimal medium']","['30gL−1 glucose', '5mM tyrosine', 'Not specified', 'ethanol', 'glucose']","['5.0', '6.0', 'N/A']","['30°C', 'N/A']","['>30%', 'N/A']","['96-deep well plate', 'Not specified', 'bioreactor']","['ALG9', 'At4CL1', 'At4CL2', 'FjTAL', 'HaTAL', 'ScACC1S659A', 'ScACC1S659A,S1157A', 'ScALD6', 'ScARO4K229L', 'ScARO7G141S', 'ScAcc1pS659A', 'ScAcc1pS659A, S1157A', 'ScAld6', 'ScAro4pK229L', 'ScAro7pG141S', 'SeACSL641P', 'VvVST1']"
10.1007.s00253-014-5895-0,"['itaconic acid', 'itaconic acid (itaconic acid)']","['59 mg/L', '90 mg/L', '122 mg/L', '126 mg/L', '168 mg/L']","['YSC media', 'YSC-URA-gal']","['galactose', 'glucose']",['N/A'],['30 °C'],['N/A'],"['Flask cultivation', 'Flask, high cell density']","['ACO1', 'ADE3', 'ADI1', 'Ade3p', 'Adi1', 'BNA2', 'BNA3', 'BNA5', 'Bna2p', 'Bna3', 'CAD', 'CIT-50', 'CIT1', 'CIT2', 'FUM1', 'IDP1', 'MDE1', 'MET22', 'MEU1', 'MRI1', 'Mde1', 'Meu1', 'Mri1', 'PXA1', 'PYC1', 'PYC2', 'SCS7', 'SHM1', 'SPE2', 'SPE3', 'SUR1', 'Spe2', 'TES1', 'TPO5', 'Tes1', 'UTR4', 'Utr4', 'YDC1', 'YNK1', 'ade3', 'adi1', 'bna2', 'bna3', 'fat1', 'mde1', 'meu1', 'mri1', 'shm2', 'spe2', 'tes1', 'utr4', 'ynk1']"
